Date,Open,High,Low,Close,Adjusted_close,Volume
2017-10-25,9.6300,9.6300,9.5700,9.5800,9.5800,665297.00
2017-10-26,9.5800,9.6100,9.5500,9.5500,9.5500,1000800.00
2017-10-27,9.5500,9.5600,9.5370,9.5400,9.5400,17000.00
2017-10-30,9.5800,9.5800,9.5800,9.5800,9.5800,1000.00
2017-10-31,9.5500,9.5600,9.5500,9.5600,9.5600,14600.00
2017-11-01,9.5200,9.5700,9.5200,9.5700,9.5700,1300.00
2017-11-02,9.5700,9.5700,9.5700,9.5700,9.5700,1200.00
2017-11-03,9.5700,9.5700,9.5700,9.5700,9.5700,4000.00
2017-11-06,9.5700,9.5700,9.5500,9.5600,9.5600,30101.00
2017-11-07,9.5600,9.5600,9.5600,9.5600,9.5600,0.00
2017-11-08,9.5600,9.5600,9.5600,9.5600,9.5600,1.00
2017-11-09,9.5500,9.5700,9.5300,9.5300,9.5300,37000.00
2017-11-10,9.5400,9.5400,9.5400,9.5400,9.5400,9700.00
2017-11-13,9.5200,9.5200,9.5200,9.5200,9.5200,700.00
2017-11-14,9.5200,9.5200,9.5200,9.5200,9.5200,0.00
2017-11-15,9.5400,9.5400,9.5400,9.5400,9.5400,2500.00
2017-11-16,9.5300,9.5300,9.5300,9.5300,9.5300,100000.00
2017-11-17,9.5700,9.5700,9.5600,9.5680,9.5680,37989.00
2017-11-20,9.5700,9.5700,9.5700,9.5700,9.5700,1005.00
2017-11-21,9.5800,9.5800,9.5700,9.5800,9.5800,72725.00
2017-11-22,9.5800,9.5800,9.5800,9.5800,9.5800,2.00
2017-11-24,9.5800,9.5800,9.5800,9.5800,9.5800,50.00
2017-11-27,9.5800,9.5900,9.5800,9.5900,9.5900,1200.00
2017-11-28,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-11-29,9.5900,9.6000,9.5900,9.6000,9.6000,14600.00
2017-11-30,9.5800,9.6000,9.5800,9.6000,9.6000,2500.00
2017-12-01,9.6000,9.6000,9.6000,9.6000,9.6000,0.00
2017-12-04,9.5700,9.6000,9.5700,9.6000,9.6000,28600.00
2017-12-05,9.5900,9.5900,9.5900,9.5900,9.5900,2005.00
2017-12-06,9.6200,9.6200,9.5900,9.5900,9.5900,7655.00
2017-12-07,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-12-08,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-12-11,9.5900,9.5900,9.5900,9.5900,9.5900,1200.00
2017-12-12,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-12-13,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-12-14,9.5900,9.5900,9.5900,9.5900,9.5900,0.00
2017-12-15,9.6100,9.6200,9.6000,9.6200,9.6200,26500.00
2017-12-18,9.6200,9.6200,9.6200,9.6200,9.6200,600.00
2017-12-19,9.6000,9.6000,9.6000,9.6000,9.6000,500.00
2017-12-20,9.6000,9.6000,9.6000,9.6000,9.6000,0.00
2017-12-21,9.6000,9.6000,9.6000,9.6000,9.6000,0.00
2017-12-22,9.6000,9.6000,9.6000,9.6000,9.6000,0.00
2017-12-26,9.6000,9.6000,9.6000,9.6000,9.6000,0.00
2017-12-27,9.6300,9.6500,9.6200,9.6500,9.6500,23333.00
2017-12-28,9.6600,9.7000,9.6500,9.6500,9.6500,96450.00
2017-12-29,9.6500,9.6500,9.6500,9.6500,9.6500,0.00
2018-01-02,9.5800,9.5800,9.5800,9.5800,9.5800,300.00
2018-01-03,9.6300,9.6300,9.6300,9.6300,9.6300,4225.00
2018-01-04,9.6300,9.6300,9.6300,9.6300,9.6300,30.00
2018-01-05,9.6300,9.6300,9.6300,9.6300,9.6300,0.00
2018-01-08,9.6300,9.6500,9.6300,9.6500,9.6500,4051.00
2018-01-09,9.6400,9.6500,9.6400,9.6500,9.6500,152801.00
2018-01-10,9.6500,9.6500,9.6500,9.6500,9.6500,96550.00
2018-01-11,9.6500,9.6500,9.6500,9.6500,9.6500,11.00
2018-01-12,9.6700,9.6700,9.6500,9.6699,9.6699,700.00
2018-01-16,9.6700,9.6700,9.6700,9.6700,9.6700,203.00
2018-01-17,9.6700,9.6700,9.6700,9.6700,9.6700,224.00
2018-01-18,9.6500,9.6500,9.6500,9.6500,9.6500,1588.00
2018-01-19,9.6500,9.6500,9.6500,9.6500,9.6500,0.00
2018-01-22,9.6500,9.6500,9.6500,9.6500,9.6500,0.00
