Date,Open,High,Low,Close,Adjusted_close,Volume
2014-02-14,16.0000,16.1200,14.7800,15.1500,15.1500,3611500.00
2014-02-18,15.2200,15.6000,15.1500,15.2500,15.2500,194900.00
2014-02-19,15.1700,15.3500,15.0000,15.1000,15.1000,133700.00
2014-02-20,15.0700,15.8000,15.0150,15.5000,15.5000,151100.00
2014-02-21,15.7600,16.7000,15.4500,16.5500,16.5500,197200.00
2014-02-24,16.9000,17.3200,16.7300,16.9700,16.9700,133300.00
2014-02-25,17.1000,17.2400,16.7500,16.9500,16.9500,116800.00
2014-02-26,17.0000,17.3000,16.8800,17.0000,17.0000,51900.00
2014-02-27,17.0100,17.3600,16.8100,17.1400,17.1400,46800.00
2014-02-28,18.3200,18.3200,17.1500,17.5100,17.5100,114600.00
2014-03-03,17.4500,17.7700,16.9500,17.6900,17.6900,99000.00
2014-03-04,17.9900,19.2200,17.9000,19.0200,19.0200,117200.00
2014-03-05,19.4000,20.2400,19.2800,19.4000,19.4000,149400.00
2014-03-06,19.3900,19.9999,19.0400,19.3800,19.3800,111300.00
2014-03-07,19.8200,19.9100,19.0100,19.1900,19.1900,109700.00
2014-03-10,19.1600,19.6100,19.1200,19.5000,19.5000,110800.00
2014-03-11,19.7900,19.7900,18.3100,18.7500,18.7500,193700.00
2014-03-12,18.7400,20.4500,18.3100,20.3100,20.3100,145300.00
2014-03-13,20.7700,20.9997,19.9200,20.0000,20.0000,132400.00
2014-03-14,20.0300,20.0300,19.0100,19.4000,19.4000,71100.00
2014-03-17,19.9100,20.2999,19.6700,19.9500,19.9500,77000.00
2014-03-18,20.0500,20.4000,19.8200,19.8500,19.8500,117900.00
2014-03-19,19.9700,20.4900,19.6600,19.8400,19.8400,43800.00
2014-03-20,19.6000,20.0999,18.1100,18.5000,18.5000,112100.00
2014-03-21,18.5100,19.2200,17.0700,17.2000,17.2000,164100.00
2014-03-24,17.1000,17.2500,15.7200,16.6900,16.6900,156000.00
2014-03-25,17.1400,17.7400,16.5500,16.8000,16.8000,238500.00
2014-03-26,16.8000,17.4100,16.7000,16.7400,16.7400,98800.00
2014-03-27,17.0000,17.7600,16.5000,16.8100,16.8100,215000.00
2014-03-28,17.4700,18.0000,16.5000,16.5700,16.5700,418500.00
2014-03-31,16.5000,17.4300,16.0600,16.5100,16.5100,757100.00
2014-04-01,16.5000,16.9100,16.3200,16.6200,16.6200,58200.00
2014-04-02,16.6400,17.1399,16.4800,16.5300,16.5300,84200.00
2014-04-03,16.5700,16.7500,16.3254,16.7000,16.7000,112300.00
2014-04-04,16.7500,16.7500,16.2600,16.3500,16.3500,90000.00
2014-04-07,16.2600,16.7300,16.0200,16.3800,16.3800,174000.00
2014-04-08,16.1500,16.5800,16.0800,16.4700,16.4700,43200.00
2014-04-09,16.4800,17.0100,15.7600,16.4700,16.4700,192200.00
2014-04-10,16.4700,16.6800,16.2700,16.4600,16.4600,111500.00
2014-04-11,16.3200,17.2500,16.1001,16.8900,16.8900,78600.00
2014-04-14,17.0200,17.1500,16.1500,16.3200,16.3200,46200.00
2014-04-15,16.4200,16.4200,15.1210,15.1900,15.1900,109000.00
2014-04-16,15.3500,15.7300,15.0000,15.3200,15.3200,74400.00
2014-04-17,15.3700,15.4600,14.8000,14.8500,14.8500,91700.00
2014-04-21,14.8000,14.9999,14.5900,14.7200,14.7200,112500.00
2014-04-22,14.8200,15.0350,14.7600,14.9400,14.9400,80800.00
2014-04-23,14.9400,15.0700,14.3000,14.6100,14.6100,89800.00
2014-04-24,14.7100,14.8500,14.3400,14.7200,14.7200,26000.00
2014-04-25,14.7500,14.7500,14.2100,14.6400,14.6400,83600.00
2014-04-28,14.6300,14.6300,13.9550,14.2600,14.2600,46700.00
2014-04-29,14.3400,14.4400,13.8910,14.0400,14.0400,34100.00
2014-04-30,14.0400,14.1900,13.6200,14.1100,14.1100,35200.00
2014-05-01,14.0400,14.6600,13.4700,14.6100,14.6100,69400.00
2014-05-02,14.5900,15.0190,13.9900,14.1900,14.1900,12000.00
2014-05-05,14.1900,14.4000,14.0600,14.0700,14.0700,27800.00
2014-05-06,14.0000,14.2400,13.1201,13.9000,13.9000,171500.00
2014-05-07,13.8640,14.0600,13.7500,14.0500,14.0500,49800.00
2014-05-08,13.9800,14.8200,13.7600,13.8100,13.8100,62600.00
2014-05-09,13.7500,14.3000,13.6800,14.1900,14.1900,21800.00
2014-05-12,14.2500,14.7000,14.0510,14.4500,14.4500,56300.00
2014-05-13,14.0500,14.6300,14.0500,14.6200,14.6200,45900.00
2014-05-14,15.0000,16.6500,14.8700,16.2900,16.2900,161600.00
2014-05-15,16.3100,16.3900,15.3650,16.1400,16.1400,76300.00
2014-05-16,16.2100,16.3300,15.5800,16.2100,16.2100,82500.00
2014-05-19,16.0900,16.3000,15.3200,15.7950,15.7950,44700.00
2014-05-20,15.8000,16.1500,15.8000,15.9200,15.9200,66400.00
2014-05-21,15.6860,16.6000,15.6860,16.5200,16.5200,88300.00
2014-05-22,16.4900,16.9000,16.1400,16.8300,16.8300,39300.00
2014-05-23,16.7600,17.4000,16.7600,17.0200,17.0200,45700.00
2014-05-27,17.1100,17.1900,16.5600,16.9600,16.9600,47100.00
2014-05-28,16.9200,17.0400,16.8800,16.9400,16.9400,18500.00
2014-05-29,17.0700,17.0700,16.9200,17.0000,17.0000,15300.00
2014-05-30,17.0600,17.0600,16.6700,16.7800,16.7800,25200.00
2014-06-02,16.8500,16.9100,16.3100,16.4200,16.4200,25800.00
2014-06-03,16.4400,16.6000,16.1200,16.2800,16.2800,59800.00
2014-06-04,16.2800,16.7200,15.8100,16.6400,16.6400,43400.00
2014-06-05,16.6100,17.3400,16.5500,17.1200,17.1200,60900.00
2014-06-06,17.2000,17.2000,16.6960,17.0400,17.0400,23900.00
2014-06-09,16.9900,17.5600,16.9900,17.2100,17.2100,28800.00
2014-06-10,17.0000,17.4200,17.0000,17.3400,17.3400,20700.00
2014-06-11,17.3300,17.3900,16.9000,17.0600,17.0600,18900.00
2014-06-12,17.3900,17.9000,17.0900,17.5400,17.5400,54700.00
2014-06-13,17.6300,18.5000,16.4100,18.4000,18.4000,62200.00
2014-06-16,18.4600,19.1600,18.2300,18.9100,18.9100,51900.00
2014-06-17,18.9800,19.6891,18.7500,19.6500,19.6500,106600.00
2014-06-18,19.5500,19.8250,18.4900,19.1800,19.1800,61900.00
2014-06-19,19.3400,19.5000,18.1100,18.4300,18.4300,94000.00
2014-06-20,18.5300,19.4900,17.7200,18.5600,18.5600,182900.00
2014-06-23,18.7600,19.4400,18.5200,19.1400,19.1400,43400.00
2014-06-24,19.3500,20.3900,19.3500,19.9300,19.9300,106300.00
2014-06-25,20.1400,20.9800,19.8100,20.8900,20.8900,63900.00
2014-06-26,20.8100,20.8486,20.4800,20.6200,20.6200,34800.00
2014-06-27,20.4900,22.0300,20.4900,21.8600,21.8600,159700.00
2014-06-30,21.9200,22.6200,21.2300,22.5600,22.5600,67400.00
2014-07-01,22.6000,24.3700,21.5000,23.5800,23.5800,183900.00
2014-07-02,23.7000,23.9500,22.8400,22.9500,22.9500,58800.00
2014-07-03,22.9400,22.9400,21.7200,22.0000,22.0000,82200.00
2014-07-07,22.3800,22.3800,20.3900,20.6200,20.6200,74900.00
2014-07-08,22.5500,22.5500,19.0100,20.2100,20.2100,91400.00
2014-07-09,20.2000,20.3599,19.4670,19.9700,19.9700,89700.00
2014-07-10,19.7200,19.7500,19.2700,19.7000,19.7000,35800.00
2014-07-11,19.7700,20.1000,19.7700,19.9600,19.9600,21200.00
2014-07-14,20.1500,20.1500,19.9000,19.9600,19.9600,28000.00
2014-07-15,19.3200,19.7500,19.0000,19.2400,19.2400,32200.00
2014-07-16,19.4500,19.6650,19.2300,19.3900,19.3900,27900.00
2014-07-17,19.4400,19.7200,19.3100,19.4300,19.4300,13600.00
2014-07-18,19.3500,20.0000,19.3500,19.9100,19.9100,28800.00
2014-07-21,19.9400,20.0000,19.3400,19.7000,19.7000,37800.00
2014-07-22,19.9760,20.2900,19.6000,19.7100,19.7100,51900.00
2014-07-23,19.9400,20.5292,19.6200,20.3200,20.3200,20000.00
2014-07-24,20.7500,20.7500,19.9627,20.0300,20.0300,11300.00
2014-07-25,19.8800,20.0000,19.1100,19.2200,19.2200,26700.00
